@lat;@lon;name;addr:suburb
-23.7219459;-46.5512384;Rua Stelio Machado Loureiro;
-23.7104170;-46.5485343;Rua João Pessoa;
-23.7084000;-46.5516895;Rua Padre Lustosa;
-23.7590645;-46.5835363;Estrada Galvão Bueno;
-23.7274660;-46.5514897;Avenida Maria Servidei Demarchi;
-23.7290343;-46.5538506;Rua Armando Backx;
-23.7237328;-46.5537834;Avenida Capitão Casa;
-23.7179273;-46.5478631;Rua José Bonifácio;
-23.7055971;-46.5509970;Avenida Francisco Prestes Maia;
-23.7199893;-46.5399604;Rua Tiradentes;
-23.7090770;-46.5488452;Rua Doutor Fláquer;
-23.7055017;-46.5593966;Rua Principe Humberto;
-23.6606292;-46.6167731;Rua do Vereador;
-23.6615551;-46.6143237;Rua Cidade de Jandira;
-23.6600372;-46.6168232;Rua Deputado Emílio Carlos;
-23.6610106;-46.6136981;Rua Estados Unidos;
-23.6647649;-46.6059832;Rua Suíça;
-23.6655455;-46.5690429;Avenida Caminho do Mar;
-23.7166795;-46.5390512;Rua Dois de Outubro;
-23.7165895;-46.5387681;Rua Alberto da Silva;
-23.7859762;-46.4705258;Rua Natalina de Andrade Buratini;
-23.7731913;-46.5008792;Rua Sorocaba;
-23.7721464;-46.5014793;Rua Santo Antônio;
-23.7729593;-46.5027988;Rua Álvaro da Silva Madeira;
-23.7847903;-46.4683256;Rua Augusto Magrine;
-23.7827047;-46.4716067;Rua Cipó Estrela;
-23.7821043;-46.4696721;Rua 4;
-23.7448807;-46.5410851;Rua Antônio Francisco Zanellato;
-23.7436790;-46.5402330;Viaduto Augusta Battistin Demarchi;
-23.7590560;-46.5948958;Estrada Galvão Bueno;
-23.7588214;-46.5888402;Estrada da Cama Patente;
-23.7589712;-46.5889973;Estrada da Cama Patente;
-23.7592024;-46.5946945;Estrada Galvão Bueno;
-23.7580144;-46.5926941;Viaduto Doutor David Capistrano da Costa Filho;
-23.7579372;-46.5927265;Viaduto Doutor David Capistrano da Costa Filho;
-23.7652909;-46.5958245;Estrada Galvão Bueno;
-23.7302206;-46.5586944;Rua Gregória de Fregel;
-23.7319332;-46.5546789;Rua Miro Vettorazzo;
-23.7321874;-46.5529621;Rua Miro Vettorazzo;
-23.7277079;-46.5647430;Avenida Capitão Casa;
-23.7357466;-46.5677897;Estrada dos Casa;
-23.7396272;-46.5620326;Rua dos Feltrins;
-23.7416411;-46.5747659;Estrada dos Casa;
-23.7284571;-46.5582636;Rua Lázara de Oliveira Leite;
-23.7279364;-46.5584696;Alameda das Oliveiras;
-23.7287435;-46.5563209;Rua Silvio Galante;
-23.7287385;-46.5547028;Rua Belmiro Roman;
-23.7286147;-46.5524595;Rua Tirso Antônio Maranesi;
-23.7269385;-46.5567870;Rua Heitor da Sousa;
-23.7269678;-46.5573992;Rua Silvio Pasin;
-23.7293009;-46.5532195;Rua Martins Pena;
-23.7269759;-46.5573477;Rua Elon Blum;
-23.7272694;-46.5557505;Rua Ismael Emiliano da Silva;
-23.7274210;-46.5586157;Rua Santa Dalmolin Demarchi;
-23.7286265;-46.5529884;Rua Lúcio Eugênio E Mendonça;
-23.7258009;-46.5562601;Rua Luís Rodi;
-23.7256290;-46.5556676;Rua Rul Amaral Lemos;
-23.7254550;-46.5551023;Rua Germino Dias da Rocha;
-23.7461311;-46.4986224;Estrada do Pedroso;
-23.7329635;-46.5574173;Rua Ferdinando Demarchi;
-23.7759268;-46.5223069;Rua Portugal;
-23.7768327;-46.5197041;Rua Aljubarrota;
-23.7764790;-46.5194982;Praça Infante;
-23.7750784;-46.5168282;Viela 5;
